Year,Number of Games
1900,575
1901,417
1902,717
1903,614
1904,854
1905,1263
1906,764
1907,1186
1908,825
1909,773
1910,622
1911,1089
1912,1181
1913,771
1914,818
1915,364
1916,368
1917,135
1918,248
1919,472
1920,834
1921,824
1922,1245
1923,1433
1924,1541
1925,1602
1926,1639
1927,1507
1928,1696
1929,1424
1930,1687
1931,2113
1932,1293
1933,1672
1934,1703
1935,2225
1936,2830
1937,2182
1938,2620
1939,2707
1940,1200
1941,1158
1942,1055
1943,1018
1944,896
1945,1734
1946,3323
1947,3376
1948,2982
1949,3621
1950,3649
1951,4394
1952,4686
1953,3658
1954,5641
1955,6274
1956,5733
1957,6777
1958,6041
1959,6122
1960,7420
1961,7787
1962,8171
1963,7942
1964,9492
1965,8934
1966,9613
1967,10278
1968,12387
1969,10673
1970,12126
1971,10474
1972,15691
1973,12453
1974,13990
1975,13481
1976,14674
1977,14449
1978,18982
1979,18755
1980,19035
1981,20600
1982,23131
1983,20612
1984,24357
1985,24079
1986,30034
1987,34447
1988,47600
1989,55248
1990,62636
1991,77703
1992,105222
1993,121097
1994,135572
1995,151973
1996,169316
1997,183619
1998,192221
1999,206792
2000,225880
2001,217902
2002,222335
2003,249582
2004,280061
2005,238336
2006,237788
2007,274221
2008,295586
2009,327811
2010,299910
2011,301370
2012,332804
2013,326387
2014,322801
2015,303986
2016,293839
2017,212942
